po_number,item,quantity_received,invoice_amount,receipt_date,invoice_number
PO-2024-0001,Ergonomic Office Chair,20,9700.00,2024-01-18,INV-STL-4421
PO-2024-0002,Latitude 5540 Laptop,10,12499.90,2024-01-22,INV-DELL-8801
PO-2024-0003,Industrial Safety Gloves (Box/100),50,1925.00,2024-01-25,INV-GRN-2293
PO-2024-0004,Breakroom Coffee Supplies (Monthly),1,620.00,2024-01-28,INV-SYS-6614
PO-2024-0006,Catalyst 9200 Network Switch,4,15800.00,2024-02-01,INV-CSC-3302
PO-2024-0006,Catalyst 9200 Network Switch,0,1250.00,2024-02-03,INV-CSC-3302
PO-2024-0007,N95 Respirator Masks (Box/20),100,2499.00,2024-02-05,INV-3M-7791
PO-2024-0009,Power Extension Cord 25ft,30,552.00,2024-02-08,INV-GRN-2301
PO-2024-0010,Creative Cloud Teams License (Annual),10,5998.80,2024-02-10,INV-ADB-1190
PO-2024-0011,Corrugated Shipping Boxes 18x12x8,300,555.00,2024-02-15,INV-ULN-4482
PO-2024-0012,Sticky Notes Assorted Pack,80,479.20,2024-02-18,INV-QLL-0091
PO-2024-0013,LaserJet Pro MFP M479fdw,3,2247.00,2024-02-20,INV-HP-5503
PO-2024-0015,M8 Hex Bolt Stainless (Box/100),25,355.00,2024-02-22,INV-FST-8831
PO-2024-0016,ThinkPad X1 Carbon Gen 11,5,9495.00,2024-02-27,INV-LNV-2241
PO-2024-0017,HL-L8360CDW Color Laser Printer,2,899.98,2024-03-01,INV-BRO-6612
PO-2024-0018,Ergonomic Keyboard Wrist Rest,60,1199.40,2024-03-03,INV-OD-4471
PO-2024-0019,USB-C Hub 7-in-1 (Anker),20,919.80,2024-03-06,INV-AMZ-3391
PO-2024-0021,First Aid Cabinet Restock Kit,12,1068.00,2024-03-08,INV-CNT-2281
PO-2024-0022,Cat6A Ethernet Cable 500ft,10,1450.00,2024-03-10,INV-ANX-7712
PO-2024-0023,Postage Meter Ink Cartridge,6,471.00,2024-03-14,INV-PB-3341
PO-2024-0024,Document Shredding Service (Monthly),1,320.00,2024-03-16,INV-SHR-8821
PO-2024-0026,WD My Cloud EX2 Ultra NAS,3,1497.00,2024-03-20,INV-ING-5541
PO-2024-0027,ZD421 Thermal Label Printer,2,1790.00,2024-03-22,INV-ZBR-6631
PO-2024-0028,C2G HDMI Cable 15ft (Pack/5),20,699.80,2024-03-24,INV-LGR-1121
PO-2024-0029,K-Cup Pods Variety Pack (108ct),15,786.00,2024-03-26,INV-KDR-4401
PO-2024-0030,High-Vis Safety Vest Class 2,18,319.50,2024-03-28,INV-ARK-7723
PO-2024-0031,Offsite Archive Box Storage (Annual),1,1875.00,2024-03-30,INV-IRM-2211
PO-2024-0033,Lockout/Tagout Station Kit,5,1050.00,2024-04-01,INV-GRN-2402
PO-2024-0034,65" 4K UHD Conference Display,2,2550.00,2024-04-03,INV-SAM-9912
PO-2024-0036,Isopropyl Alcohol 99% (5-Gallon),20,1368.00,2024-04-05,INV-BRN-3341
PO-2024-0037,Zoom Rooms Annual License,1,1999.00,2024-04-07,INV-ZM-8801
PO-2024-0038,Stretch Wrap Film 18"x1500ft (4pk),15,930.00,2024-04-09,INV-ULN-4483
PO-2024-0039,Sharpie Permanent Markers (Box/12),50,472.50,2024-04-11,INV-STP-1192
PO-2024-0040,Cordless Drill DeWalt DCD777,4,756.00,2024-04-13,INV-GRN-2403
PO-2024-0042,Janitorial Supply Bundle (Monthly),1,742.00,2024-04-15,INV-SYS-6615
PO-2024-0043,HP 508X Toner Cartridge 4-Pack,8,3432.00,2024-04-17,INV-HP-5504
PO-2024-0044,Wireless Presenter R800,10,999.90,2024-04-19,INV-LOG-3312
PO-2024-0045,LX Desk Monitor Arm,10,1790.00,2024-04-22,INV-EGT-5521
PO-2024-0046,CX622ade Color Laser Printer,1,1349.00,2024-04-24,INV-LEX-7731
PO-2024-0048,Security Laptop Cable Lock (Master),20,799.80,2024-04-26,INV-KNS-4411
PO-2024-0049,Legal Size File Folders (Box/100),15,431.25,2024-04-28,INV-QLL-0092
PO-2024-0050,Powershred 99Ci Cross-Cut Shredder,3,1349.97,2024-04-30,INV-FLW-8841
PO-2024-0002,Latitude 5540 Laptop,3,3749.97,2024-02-10,INV-DELL-8802
PO-2024-0003,Industrial Safety Gloves (Box/100),50,1985.00,2024-02-01,INV-GRN-2293
PO-2024-0021,First Aid Cabinet Restock Kit,12,1068.00,2024-03-12,INV-CNT-2281
PO-2024-0036,Isopropyl Alcohol 99% (5-Gallon),20,1420.00,2024-04-10,INV-BRN-3342
PO-2024-0013,LaserJet Pro MFP M479fdw,3,2498.50,2024-02-25,INV-HP-5503
PO-2024-0007,N95 Respirator Masks (Box/20),98,2448.02,2024-02-12,INV-3M-7792
